epoch,train_loss,train_acc,val_loss,val_acc
1,2.3086201877593995,0.42158984375,1.2275028038024902,0.686171875
2,0.934825585603714,0.7206875,0.6276797926425934,0.7865234375
3,0.6310483478307723,0.78330859375,0.5543991857767105,0.8037890625
4,0.5677854012846947,0.79936328125,0.506012470126152,0.8188671875
5,0.5285235629677772,0.8122578125,0.4920406275987625,0.821171875
6,0.5081727097630501,0.81840625,0.4831644457578659,0.826171875
7,0.4973074290752411,0.82043359375,0.47171331226825713,0.829140625
8,0.49093224889039994,0.82266796875,0.46666942059993743,0.8294921875
9,0.48037902665138243,0.82539453125,0.4593404895067215,0.8336328125
10,0.46994010311365125,0.82936328125,0.4547364717721939,0.833515625
11,0.4678629561662674,0.8300859375,0.445397179722786,0.8355078125
12,0.46075810593366623,0.83123828125,0.4437549793720245,0.8373828125
13,0.4562951789498329,0.83332421875,0.43351288497447965,0.840390625
14,0.44983504527807233,0.8369140625,0.4279582464694977,0.841484375
15,0.4454617835879326,0.8372890625,0.42466189205646515,0.841328125
16,0.44256106919050214,0.8389296875,0.42820045590400696,0.8411328125
17,0.4453118335604668,0.837859375,0.42602785766124723,0.8430859375
18,0.4394681241512299,0.83999609375,0.4196629798412323,0.8461328125
19,0.44291447758674624,0.8388984375,0.419893239736557,0.846328125
20,0.43186974501609804,0.84254296875,0.42031767189502717,0.84625
21,0.4333166957497597,0.8418671875,0.4207823485136032,0.844609375
22,0.42876719737052915,0.84341796875,0.4160985434055328,0.8464453125
23,0.42793774855136874,0.8433515625,0.4419207173585892,0.8408203125
24,0.42941964852809905,0.8424765625,0.4082482767105102,0.849921875
25,0.4227171580195427,0.846140625,0.4087818574905395,0.8500390625
26,0.4194981860518455,0.8462890625,0.40776280462741854,0.8501171875
27,0.4195995807647705,0.846125,0.4077642583847046,0.85
28,0.41978961461782455,0.84533984375,0.4033837765455246,0.8509765625
29,0.4153426316380501,0.8479140625,0.4118181484937668,0.8493359375
30,0.4129131724834442,0.84751953125,0.44879164814949035,0.8451171875
31,0.41221750032901766,0.848984375,0.4000529211759567,0.853671875
32,0.411014830827713,0.84830078125,0.4001214438676834,0.85453125
33,0.40914541071653365,0.84962890625,0.4003241991996765,0.854140625
34,0.41075514191389084,0.8487734375,0.39781806349754334,0.853359375
35,0.4062694671750069,0.85062109375,0.39742481887340547,0.853671875
36,0.4050469910502434,0.8512734375,0.3976053422689438,0.8541015625
37,0.4052128105759621,0.8506328125,0.3969744378328323,0.8537109375
38,0.4047504855394363,0.85084765625,0.3966698747873306,0.855078125
39,0.40296869987249373,0.85223046875,0.39414913654327394,0.855234375
40,0.40291432809829714,0.85131640625,0.3940859705209732,0.8546484375
41,0.4004711445569992,0.8524453125,0.39342998802661894,0.855234375
42,0.4023239567875862,0.8519921875,0.3932973885536194,0.8569921875
43,0.40004369854927063,0.8531875,0.3927748382091522,0.85578125
44,0.4016804986000061,0.85255859375,0.3923940962553024,0.8564453125
45,0.39895597529411314,0.85302734375,0.3924782335758209,0.85703125
46,0.3970427132248878,0.853875,0.3926196599006653,0.8561328125
47,0.39595117235183713,0.8538359375,0.39253550171852114,0.8564453125
48,0.39845063525438307,0.85345703125,0.39189530730247496,0.85640625
49,0.39714891052246093,0.85355078125,0.39196917951107024,0.8562890625
50,0.39865172052383424,0.85256640625,0.3918985158205032,0.8569921875
