epoch,train_loss,train_acc,val_loss,val_acc
1,1.6470955282544333,0.5724206349206349,0.6276908837954204,0.7907916666666667
2,0.5829523655649216,0.7973422619047619,0.5105895868407355,0.8161898148148148
3,0.4977792253002288,0.8205585317460318,0.461760649672261,0.8311712962962963
4,0.46126207154894633,0.8311170634920635,0.4356581917427204,0.838949074074074
5,0.44634206133418614,0.835875,0.42830534132321674,0.839925925925926
6,0.43663412900576515,0.8388769841269841,0.4199310877941273,0.8425601851851852
7,0.4283412985082657,0.8418740079365079,0.4441178920533922,0.8410046296296296
8,0.420921427488327,0.8445337301587301,0.4138834827652684,0.8466388888888889
9,0.4202694525075337,0.8452728174603175,0.40145973877553587,0.8505092592592592
10,0.41926276449173216,0.845906746031746,0.4068774184297632,0.8493333333333334
11,0.4179468073012337,0.8462113095238095,0.4044165440135532,0.8477870370370371
12,0.41390018979708354,0.847391865079365,0.4042418835692935,0.8497870370370371
13,0.4116020400826893,0.8484037698412699,0.4001731554049033,0.8510555555555556
14,0.4086444578814128,0.8494454365079365,0.39973670386385035,0.8522037037037037
15,0.4051262164759257,0.8508878968253968,0.3919735949304369,0.8541944444444445
16,0.4022660700593676,0.851594246031746,0.3900769179485462,0.8547361111111111
17,0.39882086218349516,0.8525367063492063,0.38883967755458976,0.8558055555555556
18,0.3969315636914874,0.8534791666666667,0.38981346420005514,0.8545231481481481
19,0.3942953120791723,0.8540357142857142,0.38345790936328744,0.8576712962962963
20,0.3927768634917244,0.8549136904761905,0.3827206036514706,0.8579074074074075
21,0.3919029104558248,0.8549583333333334,0.38056036706323976,0.8589953703703703
22,0.3878914494098179,0.8564474206349206,0.3792073946175752,0.8583425925925926
23,0.38641891215717983,0.8570912698412698,0.37673214452354997,0.8603842592592592
24,0.3838885282524048,0.8579345238095238,0.3782154861467856,0.8598888888888889
25,0.3824538706522139,0.8587807539682539,0.3767607247299618,0.8602638888888889
26,0.3793462929233672,0.8593154761904762,0.3724147951073117,0.862287037037037
27,0.3775795622742365,0.8603571428571428,0.37177867275697213,0.8623472222222223
28,0.37428658644358315,0.8610347222222222,0.36698142161192715,0.8639768518518518
29,0.3727152710679978,0.861718253968254,0.36499731384383305,0.8644351851851851
30,0.3706691072819725,0.8622083333333334,0.365135971431379,0.864125
31,0.3688473599108439,0.8628492063492064,0.36776437362918146,0.8636944444444444
32,0.36702855838291226,0.8633958333333334,0.3603484882425379,0.8657175925925926
33,0.3652537208852314,0.8639087301587302,0.3612361216633408,0.8658287037037037
34,0.36398537921905516,0.8644305555555556,0.36200958381758797,0.8666018518518519
35,0.36221428437838477,0.8650734126984126,0.35850280350225944,0.8682546296296296
36,0.36081798069439236,0.865297619047619,0.3596697133382161,0.8668981481481481
37,0.3597165996498532,0.8659682539682539,0.3567418158054352,0.8682638888888888
38,0.3587741132652949,0.866265873015873,0.3571432632163719,0.868087962962963
39,0.35752642236815557,0.8666746031746032,0.35551314291247615,0.8688981481481481
40,0.3567232303165254,0.8671388888888889,0.35503647417492334,0.868912037037037
41,0.3558109945418343,0.8673154761904762,0.35525893807411196,0.8687453703703704
42,0.35483448582225374,0.8676140873015873,0.3543840743435754,0.8693472222222223
43,0.3540934369109926,0.8679930555555555,0.35539040193734345,0.8690462962962963
44,0.3533103857683757,0.8682748015873016,0.3538050762547387,0.8700787037037037
45,0.3530477441151937,0.8685763888888889,0.3534372579521603,0.870375
46,0.3526287898676736,0.8685863095238096,0.3536852572494083,0.8701805555555555
47,0.3524802999647837,0.8685575396825397,0.3539335704556218,0.8697453703703704
48,0.3517954489730653,0.8689771825396826,0.3532076805697547,0.8703518518518518
49,0.3518857150456262,0.8688144841269841,0.3531757249037425,0.870287037037037
50,0.35172932134355817,0.8688204365079365,0.3534195269037176,0.8702731481481482
