epoch,train_loss,train_acc,val_loss,val_acc
1,1.6210242885710702,0.5864335317460317,0.6403830963593942,0.7782685185185185
2,0.590605365018996,0.795530753968254,0.5184968547821045,0.8143472222222222
3,0.5108482334575956,0.8159454365079365,0.47621892142295835,0.8234212962962963
4,0.47307666488299294,0.8270634920634921,0.4442185766608627,0.8351666666666666
5,0.45312817382434056,0.8334365079365079,0.4295221911624626,0.8398194444444445
6,0.4406322658024137,0.8377529761904762,0.4260537132775342,0.840574074074074
7,0.4331885357697805,0.8401696428571429,0.42336643624305725,0.8444212962962963
8,0.42725897737533325,0.8418988095238096,0.4099222598252473,0.8463333333333334
9,0.4213393570392851,0.844032738095238,0.40713244054052566,0.8473472222222223
10,0.41727787374314806,0.845218253968254,0.40541797290907966,0.8488518518518519
11,0.4134666069008055,0.8465128968253969,0.40846329692558003,0.8478564814814815
12,0.4097219222575899,0.8478630952380952,0.39955287850344623,0.8516064814814814
13,0.4063394656446245,0.8492906746031746,0.39376213453434133,0.8537361111111111
14,0.4040318875653403,0.85,0.3924748165872362,0.8543981481481482
15,0.40061429222424827,0.8514424603174603,0.3923046738748197,0.8538796296296296
16,0.3970259792577653,0.8526706349206349,0.38725162803685226,0.8562222222222222
17,0.39259673700256953,0.8545446428571428,0.4030830879652942,0.8529675925925926
18,0.391548080947664,0.8550793650793651,0.3829126168092092,0.8575
19,0.39093926156134834,0.8554831349206349,0.38141516188338953,0.858287037037037
20,0.3895714337485177,0.8556230158730159,0.38682751476323163,0.8561111111111112
21,0.38660830528017076,0.8564910714285714,0.3781471146300987,0.8597222222222223
22,0.3842665526715536,0.8571775793650793,0.3765142442915175,0.8601111111111112
23,0.3815828515310136,0.8582440476190476,0.37089892349419773,0.8618888888888889
24,0.3796602529987456,0.858921626984127,0.3717386010841087,0.8620694444444444
25,0.3781442861708384,0.8595555555555555,0.37253446621365016,0.8614861111111111
26,0.37540755141727505,0.8603769841269842,0.3699024806905676,0.8608055555555556
27,0.3739664202228425,0.8608799603174603,0.3677582710230792,0.8622731481481481
28,0.3718950147969382,0.8613204365079365,0.366775956136209,0.8634259259259259
29,0.3700285004396287,0.8620555555555556,0.36410617192586264,0.8644074074074074
30,0.3679609576898908,0.8629474206349206,0.3620281648459258,0.8659675925925926
31,0.36670984430540177,0.8633224206349206,0.36225604182702525,0.8655138888888889
32,0.365125800496056,0.8638194444444445,0.3608196915873775,0.8667268518518518
33,0.3638565727302006,0.8643650793650793,0.36161926198888705,0.8653101851851852
34,0.3621595764500754,0.8649365079365079,0.3596689332767769,0.8662638888888889
35,0.36078692731024725,0.8653978174603174,0.35802569316051625,0.8672361111111111
36,0.35948464254349,0.8656319444444445,0.3582517095053637,0.8673935185185185
37,0.3582770061379387,0.866000992063492,0.3573318888876173,0.8664814814814815
38,0.3573461544059572,0.8664503968253968,0.3569451984387857,0.8679953703703703
39,0.3566427398144253,0.8668462301587302,0.3555584066708883,0.8685046296296296
40,0.35516481055532184,0.8672698412698413,0.35488216923784327,0.8681805555555555
41,0.35485409898985,0.8672222222222222,0.35422344931849725,0.8687916666666666
42,0.3537364088050903,0.8677271825396825,0.35347467196429216,0.869162037037037
43,0.3531531261451661,0.8681974206349207,0.35324648483594256,0.8688657407407407
44,0.3525103783796704,0.8682628968253968,0.3528798234462738,0.8696898148148148
45,0.35190096359782747,0.8683184523809524,0.3530207114572878,0.8694537037037037
46,0.3515142879221174,0.8684662698412698,0.3527221248591388,0.8696111111111111
47,0.35124808989252365,0.8686765873015873,0.35271981741763925,0.8699537037037037
48,0.3512775799168481,0.8687480158730159,0.3526724176141951,0.869625
49,0.3507503925770048,0.8687668650793651,0.3527602191942709,0.8697407407407407
50,0.3508074810807667,0.8689037698412698,0.35263163240750633,0.8696759259259259
